# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	1466
#@/user_id	79ab5cc6-16fb-466f-9b2a-142e70327c72
gu4 shi4 	故事	c=1 d=1 t=588
guan1 lian2 	關聯	c=1 d=1 t=571
guan1 xi4 	關係	c=1 d=1 t=556
guan3 dai4 	管帶	c=1 d=1 t=566
guan3 li3 	管理	c=1 d=1 t=471
guang1 	光	c=1 d=1 t=339
guang1 diao1 	光雕	c=1 d=1 t=567
guang1 xian4 	光線	c=2 d=1.99005 t=169
guang1 yuan2 	光源	c=1 d=1 t=344
guang1 yun4 	光暈	c=1 d=1 t=1075
gui4 tai2 	櫃檯	c=5 d=3.93707 t=252
guo3 ran2 	果然	c=1 d=1 t=14
guo3 ru2 	果如	c=1 d=1 t=748
guo4 	過	c=1 d=1 t=310
guo4 qu4 	過去	c=4 d=1.57138 t=1054
guo4 zuo4 	過做	c=1 d=1 t=757
ha1 ha1 	哈哈	c=1 d=1 t=843
hai2 	還	c=3 d=1.49691 t=923
hai2 mei2 	還沒	c=1 d=1 t=1447
hai2 mei2 you3 	還沒有	c=1 d=1 t=305
hai2 shi4 	還是	c=1 d=1 t=82
hai2 yong4 shuo1 	還用說	c=1 d=1 t=655
hai3 	海	c=1 d=1 t=975
hao2 bu4 	毫不	c=2 d=1.99501 t=218
hao2 yu3 	豪雨	c=1 d=1 t=996
hao3 xiang4 	好像	c=2 d=1.96079 t=809
hao3 yu2 	好於	c=1 d=1 t=995
hao3 yun4 	好運	c=1 d=0.654327 t=244
hao4 	號	c=1 d=1 t=547
he2 	和	c=3 d=2.74595 t=1137
he2 li3 	合理	c=1 d=1 t=889
hen2 ji1 	痕跡	c=1 d=1 t=293
hen3 	很	c=2 d=1.73868 t=888
hen3 nan2 	很難	c=1 d=1 t=599
hen3 nan2 jing1 	很南京	c=1 d=1 t=598
hou4 	後	c=2 d=1.72979 t=1382
hou4 o1 	後喔	c=1 d=1 t=1097
hua2 	滑	c=1 d=1 t=893
hua4 	話	c=4 d=1.38402 t=828
huan2 	環	c=2 d=1.28365 t=1329
huan3 man4 	緩慢	c=1 d=1 t=1011
huan4 	換	c=1 d=1 t=1330
